Fitness_mhi	Fitness_mli	Fitness_thi	Fitness_tli	Fitness_mhp	Fitness_mlp	Fitness_thp	Fitness_tlp	Necrosis_severity
NA	-0.006	0.376	0.141	0.229	0.279	0.098	-0.05	-0.195
0.969	NA	-0.08	0.331	0.027	0.456	0.038	0.106	-0.102
0.0141	0.612	NA	0.08	0.07	-0.007	-0.074	-0.066	-0.273
0.373	0.0325	0.614	NA	0.158	0.303	0.153	0.301	0.147
0.144	0.863	0.66	0.319	NA	-0.201	0.024	0.235	-0.086
0.0736	0.00242	0.963	0.0514	0.202	NA	0.128	-0.05	-0.103
0.538	0.809	0.644	0.335	0.879	0.418	NA	0.122	-0.036
0.755	0.503	0.677	0.0531	0.135	0.752	0.442	NA	0.118
0.217	0.52	0.0802	0.353	0.587	0.518	0.821	0.455	NA
